Date,Open,High,Low,Close*,
"Mar 15, 2024",417.2,428.55,415.25,419.1,
"Mar 14, 2024",421.95,425.5,418,419.65,
"Mar 13, 2024",435,438,421.15,422.45,
"Mar 12, 2024",406.5,406.5,399.35,404.45,
"Mar 11, 2024",416.8,418.3,408,409.4,
"Mar 07, 2024",407.85,414.95,403.65,413.55,
"Mar 06, 2024",406.5,409.95,400.7,407.85,
"Mar 05, 2024",409.65,411.4,403.95,406.15,
"Mar 04, 2024",412.25,412.95,408.45,409.1,
"Mar 01, 2024",408.9,413.15,407.5,409.5,
"Feb 29, 2024",409,411.05,404.5,406.3,
"Feb 28, 2024",411.15,412.35,406.8,408.3,
"Feb 27, 2024",410,412.75,408.55,411.15,
"Feb 26, 2024",411.1,413.05,407.3,409.2,
"Feb 23, 2024",415.9,415.9,410.5,411.4,
"Feb 22, 2024",406.9,415.15,403.45,414.45,
"Feb 21, 2024",407,410.1,401.3,403.35,
"Feb 20, 2024",410.45,410.45,404.3,406.1,
"Feb 19, 2024",405,412.75,404.6,409.25,
"Feb 16, 2024",405,409.55,399.4,404.6,
"Feb 15, 2024",413,414.55,403.15,403.9,
"Feb 14, 2024",406,412.25,404.4,411.55,
"Feb 13, 2024",406.9,410.8,403.3,406.75,
"Feb 12, 2024",417.55,418,406.05,406.85,
"Feb 09, 2024",410.1,424.2,408.6,415.5,
"Feb 08, 2024",429,429.1,408.6,414.55,
"Feb 08, 2024",6.25 Dividend,,,,
"Feb 07, 2024",435,435,430.8,431.8,
"Feb 06, 2024",440,440.9,429.5,431.4,
"Feb 05, 2024",442,443.65,436.55,438.05,
"Feb 02, 2024",445,447.2,439.5,440.1,
"Feb 01, 2024",442,447.75,439.3,442.9,
"Jan 31, 2024",440,442.5,438.7,441.55,
"Jan 30, 2024",447,453.7,437.4,438.05,
"Jan 29, 2024",455.9,457.25,447.5,449.8,
"Jan 25, 2024",463.55,464.95,452.1,455.65,
"Jan 24, 2024",460.1,467.4,458.1,463.6,
"Jan 23, 2024",473.75,473.75,456.4,459.3,
"Jan 19, 2024",468.55,473,466.4,471.5,
"Jan 18, 2024",465.25,467.85,454.55,465.5,
"Jan 17, 2024",471.4,477,465.2,466.6,
"Jan 16, 2024",467.8,475,464.25,472.3,
"Jan 15, 2024",470,470.5,466.1,467.6,
"Jan 12, 2024",463.25,467.7,460.35,466.7,
"Jan 11, 2024",464.1,466.55,461.1,462.65,
"Jan 10, 2024",464.55,466.75,460.05,463.3,
"Jan 09, 2024",467.5,469.95,463.65,464.55,
"Jan 08, 2024",475,475.5,464.55,465.5,
"Jan 05, 2024",479.4,479.4,472,473.95,
"Jan 04, 2024",480,481.45,474.2,476.4,
"Jan 03, 2024",470.25,480.7,469.35,477.25,
"Jan 02, 2024",470,471.35,463.6,470.35,
"Jan 01, 2024",463.5,469.95,462.65,468.05,
"Dec 29, 2023",464.1,467.9,461.35,462.1,
"Dec 28, 2023",457.2,464.7,456.1,464.1,
"Dec 27, 2023",457,458.5,453.75,457.1,
"Dec 26, 2023",456.05,458.9,454.7,456.45,
"Dec 22, 2023",453,455.9,450.55,455.2,
"Dec 21, 2023",449,453.75,444.45,451.45,
"Dec 20, 2023",459,459.25,449.3,451,
"Dec 19, 2023",453.35,458,452.05,456.1,
"Dec 18, 2023",455,456,450.35,451.65,
"Dec 15, 2023",461.9,462.95,455,458.2,
"Dec 14, 2023",460,461,449.45,460.1,
"Dec 13, 2023",456.3,458.85,453.1,455.65,
"Dec 12, 2023",454.2,460,452.35,453.1,
"Dec 11, 2023",451.5,453.6,449.3,452.45,
"Dec 08, 2023",459.95,461.6,448.5,449.15,
"Dec 07, 2023",464.75,464.8,457.4,458.1,
